name,department,rmp_id,rmp_rating,rmp_difficulty,rmp_would_take_again,rmp_department,notes
Karin Galldin,,,,,,,Needs manual RMP lookup
Karine Bissonnette,,,,,,,Needs manual RMP lookup
Karine Toupin April,,,,,,,Needs manual RMP lookup
Karyne Merrick Moore,,,,,,,Needs manual RMP lookup
Katarina Ghdaye,,,,,,,Needs manual RMP lookup
Katherine Kehoe,,,,,,,Needs manual RMP lookup
Katherine Mohindra,,,,,,,Needs manual RMP lookup
Kathleen Durocher,,,,,,,Needs manual RMP lookup
Kathy-Sarah Focsanéanu,,,,,,,Needs manual RMP lookup
Katrina Kellar Pinard,,,,,,,Needs manual RMP lookup
Kenneth Eakin,,,,,,,Needs manual RMP lookup
Kerri Bodin,,,,,,,Needs manual RMP lookup
Kerry-Anne Hogan,,,,,,,Needs manual RMP lookup
Kethra Campbell-Heaton,,,,,,,Needs manual RMP lookup
Kevin Petit-Frère,,,,,,,Needs manual RMP lookup
Khaled El Emam,,,,,,,Needs manual RMP lookup
Khalil Abu-Osba,,,,,,,Needs manual RMP lookup
Khalil Habrih,,,,,,,Needs manual RMP lookup
Kiana Pilon,,,,,,,Needs manual RMP lookup
Kianoosh Shokri,,,,,,,Needs manual RMP lookup
Kimberley Nault,,,,,,,Needs manual RMP lookup
Koami Dzigbodi Amegble,,,,,,,Needs manual RMP lookup
Kori Ladonna,,,,,,,Needs manual RMP lookup
Krisandra Ivings,,,,,,,Needs manual RMP lookup
Krissi Laura Michaud,,,,,,,Needs manual RMP lookup
Krutiben Mehta,,,,,,,Needs manual RMP lookup
Krystel Descary,,,,,,,Needs manual RMP lookup
Krzysztof Duniewicz,,,,,,,Needs manual RMP lookup
Kyle Kuthe,,,,,,,Needs manual RMP lookup
Kyra Alexandra Moritz St Pierre,,,,,,,Needs manual RMP lookup
Laura Astwood,,,,,,,Needs manual RMP lookup
Laura Castano Laverde,,,,,,,Needs manual RMP lookup
Laura Trinkle-Mulcahy,,,,,,,Needs manual RMP lookup
Laure-Marie Carignan,,,,,,,Needs manual RMP lookup
Laurie Chan,,,,,,,Needs manual RMP lookup
Lefranc Joseph,,,,,,,Needs manual RMP lookup
Leilah Mbida,,,,,,,Needs manual RMP lookup
Leonard Joseph Andrew Droppo-Crites,,,,,,,Needs manual RMP lookup
Liad Amir,,,,,,,Needs manual RMP lookup
Lillian Thomsen,,,,,,,Needs manual RMP lookup
Lina Aburas Awadalla,,,,,,,Needs manual RMP lookup
Linda Mclean,,,,,,,Needs manual RMP lookup
Lindsay Noël,,,,,,,Needs manual RMP lookup
Lisa Michelle D'Ambrosio,,,,,,,Needs manual RMP lookup
Lisa Pike,,,,,,,Needs manual RMP lookup
Lise J. Kingsbury,,,,,,,Needs manual RMP lookup
Lison-Nathalie Gagnon,,,,,,,Needs manual RMP lookup
Lissa Lamarche,,,,,,,Needs manual RMP lookup
Lori Beaman,,,,,,,Needs manual RMP lookup
Lorrain Haitham Tyrany,,,,,,,Needs manual RMP lookup
Louis L'Allier,,,,,,,Needs manual RMP lookup
Louis Trepanier,,,,,,,Needs manual RMP lookup
Louis-Philippe Morin,,,,,,,Needs manual RMP lookup
Louise Brasseur,,,,,,,Needs manual RMP lookup
Louise Fines,,,,,,,Needs manual RMP lookup
Louise Y. Bélanger-Hardy,,,,,,,Needs manual RMP lookup
Luca Pellegrini,,,,,,,Needs manual RMP lookup
Lucie Jane Bartosova,,,,,,,Needs manual RMP lookup
Ludivine Bodar,,,,,,,Needs manual RMP lookup
Luvunu Armand Kayolo,,,,,,,Needs manual RMP lookup
Lyne Jolette,,,,,,,Needs manual RMP lookup
Lynn Rockman,,,,,,,Needs manual RMP lookup
Léa Derome Hétu,,,,,,,Needs manual RMP lookup
Madeleine Mayo,,,,,,,Needs manual RMP lookup
Madeline White,,,,,,,Needs manual RMP lookup
Manal Abou-Chakra,,,,,,,Needs manual RMP lookup
Manal Beydoun,,,,,,,Needs manual RMP lookup
Manuel Perron,,,,,,,Needs manual RMP lookup
Marc Prudhomme,,,,,,,Needs manual RMP lookup
Marc Tremblay,,,,,,,Needs manual RMP lookup
Marcel Mérette,,,,,,,Needs manual RMP lookup
Marceline Côté,,,,,,,Needs manual RMP lookup
Marcelo Thompson Mello Guimaraes,,,,,,,Needs manual RMP lookup
Maria Cherba,,,,,,,Needs manual RMP lookup
Maria Katsivela,,,,,,,Needs manual RMP lookup
Maria Pilar Abellan,,,,,,,Needs manual RMP lookup
Mariana Cortes Kandler,,,,,,,Needs manual RMP lookup
Mariana Custódio Do Nascimento Lago,,,,,,,Needs manual RMP lookup
Marie-Catherine Chiasson,,,,,,,Needs manual RMP lookup
Marie-Claire Gauthier,,,,,,,Needs manual RMP lookup
Marie-Claude Plourde,,,,,,,Needs manual RMP lookup
Marie-France Boily,,,,,,,Needs manual RMP lookup
Marie-France Fortin,,,,,,,Needs manual RMP lookup
Marie-Hélène Roy-Gagnon,,,,,,,Needs manual RMP lookup
Marie-Josée Bourget,,,,,,,Needs manual RMP lookup
Marie-Lyne Vachon,,,,,,,Needs manual RMP lookup
Marie-Pier Abel,,,,,,,Needs manual RMP lookup
Marie-Pier Vandette,,,,,,,Needs manual RMP lookup
Mariem Chiba,,,,,,,Needs manual RMP lookup
Mariette Théberge,,,,,,,Needs manual RMP lookup
Marilyn Ashley,,,,,,,Needs manual RMP lookup
Mario J. Blouin,,,,,,,Needs manual RMP lookup
Marion Sandilands,,,,,,,Needs manual RMP lookup
Marjolaine Hébert,,,,,,,Needs manual RMP lookup
Mark Hannington,,,,,,,Needs manual RMP lookup
Mark Warriner,,,,,,,Needs manual RMP lookup
Marlene Winifred Best,,,,,,,Needs manual RMP lookup
Martin Noël,,,,,,,Needs manual RMP lookup
Martin Pelchat,,,,,,,Needs manual RMP lookup
Martine Rhéaume,,,,,,,Needs manual RMP lookup
Martine Trudelle,,,,,,,Needs manual RMP lookup
Mary Margaret Stalcup,,,,,,,Needs manual RMP lookup
Marylène Charette,,,,,,,Needs manual RMP lookup
Maryn Diiorio,,,,,,,Needs manual RMP lookup
Maryse Dionne,,,,,,,Needs manual RMP lookup
Mathieu De Lafontaine,,,,,,,Needs manual RMP lookup
Mathieu O'Brien,,,,,,,Needs manual RMP lookup
Mathieu Tovar-Poitras,,,,,,,Needs manual RMP lookup
Matthieu Boisgontier,,,,,,,Needs manual RMP lookup
Maurice Joseph Kistabish,,,,,,,Needs manual RMP lookup
Max Robenson Vilaire Dortilus,,,,,,,Needs manual RMP lookup
Maxime Prévost,,,,,,,Needs manual RMP lookup
Maxime Rousseaux,,,,,,,Needs manual RMP lookup
Maximilian Mauricio-Cardilli,,,,,,,Needs manual RMP lookup
Maxwell Hincke,,,,,,,Needs manual RMP lookup
Md Mahmud Hasan,,,,,,,Needs manual RMP lookup
Medet Segizbayev,,,,,,,Needs manual RMP lookup
Mehdi Iddar,,,,,,,Needs manual RMP lookup
Melissa Bayrock,,,,,,,Needs manual RMP lookup
Michael A. O'Neill,,,,,,,Needs manual RMP lookup
Michael Bao,,,,,,,Needs manual RMP lookup
Michael Chateauneuf,,,,,,,Needs manual RMP lookup
Michael Hudecki,,,,,,,Needs manual RMP lookup
Michael Law-Smith,,,,,,,Needs manual RMP lookup
Michael Patrick Dougan,,,,,,,Needs manual RMP lookup
Michael Purcell,,,,,,,Needs manual RMP lookup
Michael Van Der Sloot,,,,,,,Needs manual RMP lookup
Michael W. Reynolds,,,,,,,Needs manual RMP lookup
Michel Désilets,,,,,,,Needs manual RMP lookup
Michel Mathieu,,,,,,,Needs manual RMP lookup
Michelle Cicchino,,,,,,,Needs manual RMP lookup
Milena Buziak,,,,,,,Needs manual RMP lookup
Mina Faghih,,,,,,,Needs manual RMP lookup
Minahil Asim,,,,,,,Needs manual RMP lookup
Mireille Fournier,,,,,,,Needs manual RMP lookup
Mireille Khacho,,,,,,,Needs manual RMP lookup
Miriam Cusson,,,,,,,Needs manual RMP lookup
Mohammad Al Ridhawi,,,,,,,Needs manual RMP lookup
Mohammad Ali Ahmadpoor Jadehkenary,,,,,,,Needs manual RMP lookup
Mohammad Taghi Gholami,,,,,,,Needs manual RMP lookup
Mohammed Al-Ta'Amneh,,,,,,,Needs manual RMP lookup
Mohammed Habibur Rahman,,,,,,,Needs manual RMP lookup
Mohsen Ansari,,,,,,,Needs manual RMP lookup
Monica Taljaard,,,,,,,Needs manual RMP lookup
Monim Benaissa,,,,,,,Needs manual RMP lookup
Monireh Sadat Razavi Ganji,,,,,,,Needs manual RMP lookup
Monnica Williams,,,,,,,Needs manual RMP lookup
Montana Cardinal,,,,,,,Needs manual RMP lookup
Mouhcine Guennoun,,,,,,,Needs manual RMP lookup
Mounira Khoris,,,,,,,Needs manual RMP lookup
Mujda Nooristani,,,,,,,Needs manual RMP lookup
Munazza Tahir,,,,,,,Needs manual RMP lookup
Mylene Rosa,,,,,,,Needs manual RMP lookup
Na Lin,,,,,,,Needs manual RMP lookup
Nabil Afodjo,,,,,,,Needs manual RMP lookup
Nadia Abu-Zahra,,,,,,,Needs manual RMP lookup
